param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
gini,7,sqrt,20,10,0.5562130177514792,0.6144927536231884,0.5601023017902813,0.5768115942028985,0.6118721461187214
gini,7,sqrt,20,20,0.5562130177514792,0.6144927536231884,0.5601023017902813,0.5768115942028985,0.6118721461187214
gini,7,log2,1,2,0.5749235474006116,0.5895316804407713,0.5908419497784343,0.5979073243647235,0.6309148264984227
gini,7,log2,1,10,0.5835866261398176,0.6280487804878049,0.5764192139737991,0.5975975975975976,0.6298507462686567
gini,7,log2,1,20,0.5860597439544808,0.6046511627906976,0.5770862800565771,0.5730027548209367,0.6151515151515151
gini,7,log2,5,2,0.609105180533752,0.6116207951070336,0.5907172995780591,0.5866666666666667,0.6360759493670886
gini,7,log2,5,10,0.609105180533752,0.6116207951070336,0.5907172995780591,0.5866666666666667,0.6360759493670886
gini,7,log2,5,20,0.5994318181818182,0.6382306477093207,0.6017699115044248,0.5702247191011236,0.5915492957746479
gini,7,log2,10,2,0.6112852664576802,0.6465927099841522,0.6016949152542372,0.5714285714285714,0.5926966292134831
gini,7,log2,10,10,0.6112852664576802,0.6465927099841522,0.6016949152542372,0.5714285714285714,0.5926966292134831
gini,7,log2,10,20,0.6112852664576802,0.6465927099841522,0.6016949152542372,0.5714285714285714,0.5926966292134831
gini,7,log2,20,2,0.5855728429985856,0.6235632183908046,0.5801952580195258,0.6127167630057804,0.6403641881638846
gini,7,log2,20,10,0.5855728429985856,0.6235632183908046,0.5801952580195258,0.6127167630057804,0.6403641881638846
gini,7,log2,20,20,0.5855728429985856,0.6235632183908046,0.5801952580195258,0.6127167630057804,0.6403641881638846
entropy,3,,1,2,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,1,10,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,1,20,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,5,2,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,5,10,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,5,20,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,10,2,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,10,10,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,10,20,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,20,2,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,20,10,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,,20,20,0.6042003231017771,0.6187050359712231,0.6188340807174888,0.6069802731411229,0.637904468412943
entropy,3,sqrt,1,2,0.5385996409335727,0.5766871165644172,0.5640287769784172,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,1,10,0.5385996409335727,0.5766871165644172,0.5640287769784172,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,1,20,0.5385996409335727,0.5766871165644172,0.5640287769784172,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,5,2,0.5366726296958855,0.5766871165644172,0.5611510791366906,0.5598591549295775,0.5440494590417311
entropy,3,sqrt,5,10,0.5366726296958855,0.5766871165644172,0.5611510791366906,0.5598591549295775,0.5440494590417311
entropy,3,sqrt,5,20,0.5366726296958855,0.5766871165644172,0.5611510791366906,0.5598591549295775,0.5440494590417311
entropy,3,sqrt,10,2,0.5366726296958855,0.5766871165644172,0.5549132947976878,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,10,10,0.5366726296958855,0.5766871165644172,0.5549132947976878,0.5614035087719298,0.5423728813559322
