param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_lambda,param_classifier__subsample,param_classifier__subsample_freq,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.01,3,200,15,7,0.4,1,0.6002928257686676,0.6411764705882353,0.6053748231966054,0.6278409090909091,0.6626323751891074
0.01,3,200,15,7,0.6,1,0.6,0.6391752577319587,0.61212976022567,0.624113475177305,0.661608497723824
0.01,3,200,15,7,0.8,1,0.5994152046783626,0.6410635155096012,0.6097902097902098,0.6251768033946252,0.662613981762918
0.01,3,200,31,1,0.4,1,0.5973645680819912,0.6458333333333334,0.6062322946175638,0.6314285714285715,0.6656580937972768
0.01,3,200,31,1,0.6,1,0.6017699115044248,0.6439169139465876,0.6051136363636364,0.625,0.662613981762918
0.01,3,200,31,1,0.8,1,0.6,0.6410635155096012,0.6086956521739131,0.625,0.6615853658536586
0.01,3,200,31,3,0.4,1,0.5956204379562043,0.6449704142011834,0.6070921985815603,0.6314285714285715,0.6666666666666666
0.01,3,200,31,3,0.6,1,0.6017699115044248,0.6420118343195266,0.6099290780141844,0.6223479490806223,0.662613981762918
0.01,3,200,31,3,0.8,1,0.5991189427312775,0.642962962962963,0.6086956521739131,0.624113475177305,0.661608497723824
0.01,3,200,31,7,0.4,1,0.6002928257686676,0.6411764705882353,0.6053748231966054,0.6278409090909091,0.6626323751891074
0.01,3,200,31,7,0.6,1,0.6,0.6391752577319587,0.61212976022567,0.624113475177305,0.661608497723824
0.01,3,200,31,7,0.8,1,0.5994152046783626,0.6410635155096012,0.6097902097902098,0.6251768033946252,0.662613981762918
0.01,3,300,7,1,0.4,1,0.5997045790251108,0.6478454680534919,0.6048502139800286,0.6324786324786325,0.6595419847328244
0.01,3,300,7,1,0.6,1,0.6020558002936858,0.6479289940828402,0.6005665722379604,0.6266094420600858,0.659606656580938
0.01,3,300,7,1,0.8,1,0.6017699115044248,0.6459259259259259,0.603988603988604,0.6239316239316239,0.662613981762918
0.01,3,300,7,3,0.4,1,0.6017699115044248,0.6497764530551415,0.6079545454545454,0.6294706723891274,0.654490106544901
0.01,3,300,7,3,0.6,1,0.6020558002936858,0.6469719350073855,0.6051136363636364,0.6258890469416786,0.6576168929110106
0.01,3,300,7,3,0.8,1,0.6041055718475073,0.6409495548961425,0.603988603988604,0.624113475177305,0.6636363636363637
0.01,3,300,7,7,0.4,1,0.6005917159763313,0.6517857142857143,0.6090651558073654,0.6303724928366762,0.6525037936267072
0.01,3,300,7,7,0.6,1,0.6041055718475073,0.6459259259259259,0.6099290780141844,0.6269503546099291,0.6576168929110106
0.01,3,300,7,7,0.8,1,0.6002928257686676,0.6419019316493314,0.6056338028169014,0.6269503546099291,0.659606656580938
0.01,3,300,15,1,0.4,1,0.6035502958579881,0.6477611940298508,0.6065808297567954,0.6302158273381295,0.6564885496183206
0.01,3,300,15,1,0.6,1,0.6020558002936858,0.6488095238095238,0.6002844950213371,0.6257142857142857,0.6605783866057838
0.01,3,300,15,1,0.8,1,0.6017699115044248,0.6478454680534919,0.603399433427762,0.6239316239316239,0.6636225266362252
0.01,3,300,15,3,0.4,1,0.6026587887740029,0.6497764530551415,0.6079545454545454,0.6273381294964029,0.654490106544901
0.01,3,300,15,3,0.6,1,0.6,0.6439169139465876,0.6022727272727273,0.6267806267806267,0.6606060606060606
0.01,3,300,15,3,0.8,1,0.6038291605301914,0.6428571428571429,0.6016949152542372,0.6230440967283073,0.661608497723824
0.01,3,300,15,7,0.4,1,0.6014814814814815,0.6488095238095238,0.6079545454545454,0.6275071633237822,0.6525037936267072
0.01,3,300,15,7,0.6,1,0.6,0.6459259259259259,0.6082036775106082,0.6248216833095578,0.6555891238670695
0.01,3,300,15,7,0.8,1,0.6020558002936858,0.6419019316493314,0.6064880112834978,0.6287339971550497,0.6656534954407295
0.01,3,300,31,1,0.4,1,0.6035502958579881,0.6477611940298508,0.6065808297567954,0.6302158273381295,0.6564885496183206
0.01,3,300,31,1,0.6,1,0.6020558002936858,0.6488095238095238,0.6002844950213371,0.6257142857142857,0.6605783866057838
0.01,3,300,31,1,0.8,1,0.6017699115044248,0.6478454680534919,0.603399433427762,0.6239316239316239,0.6636225266362252
0.01,3,300,31,3,0.4,1,0.6026587887740029,0.6497764530551415,0.6079545454545454,0.6273381294964029,0.654490106544901
0.01,3,300,31,3,0.6,1,0.6,0.6439169139465876,0.6022727272727273,0.6267806267806267,0.6606060606060606
0.01,3,300,31,3,0.8,1,0.6038291605301914,0.6428571428571429,0.6016949152542372,0.6230440967283073,0.661608497723824
0.01,3,300,31,7,0.4,1,0.6014814814814815,0.6488095238095238,0.6079545454545454,0.6275071633237822,0.6525037936267072
0.01,3,300,31,7,0.6,1,0.6,0.6459259259259259,0.6082036775106082,0.6248216833095578,0.6555891238670695
0.01,3,300,31,7,0.8,1,0.6020558002936858,0.6419019316493314,0.6064880112834978,0.6287339971550497,0.6656534954407295
0.01,5,50,7,1,0.4,1,0.5967016491754122,0.6306306306306306,0.6096866096866097,0.6140602582496413,0.6625954198473283
0.01,5,50,7,1,0.6,1,0.6003016591251885,0.6328358208955224,0.6105563480741797,0.6176470588235294,0.6595092024539877
0.01,5,50,7,1,0.8,1,0.6003016591251885,0.631578947368421,0.613603473227207,0.6085714285714285,0.6595092024539877
0.01,5,50,7,3,0.4,1,0.5967016491754122,0.6366366366366366,0.6088193456614509,0.6160458452722063,0.6625954198473283
0.01,5,50,7,3,0.6,1,0.603030303030303,0.6328358208955224,0.615606936416185,0.6131386861313869,0.6584992343032159
0.01,5,50,7,3,0.8,1,0.6003016591251885,0.631578947368421,0.613603473227207,0.6059743954480796,0.646875
0.01,5,50,7,7,0.4,1,0.5949177877428998,0.6377245508982036,0.6120689655172413,0.6129943502824858,0.6546003016591252
0.01,5,50,7,7,0.6,1,0.6039453717754173,0.6325301204819277,0.6176046176046176,0.6156028368794326,0.6595092024539877
0.01,5,50,7,7,0.8,1,0.6003016591251885,0.631578947368421,0.6185567010309279,0.6059743954480796,0.646875
0.01,5,50,15,1,0.4,1,0.5960665658093798,0.6442748091603053,0.6115942028985507,0.6255506607929515,0.6666666666666666
0.01,5,50,15,1,0.6,1,0.6027397260273972,0.6402439024390244,0.6209912536443148,0.6282245827010622,0.6645865834633385
0.01,5,50,15,1,0.8,1,0.6076335877862595,0.6333333333333333,0.624633431085044,0.6255639097744361,0.6635367762128326
0.01,5,50,15,3,0.4,1,0.5978755690440061,0.6371951219512195,0.6124818577648766,0.6322008862629247,0.6666666666666666
0.01,5,50,15,3,0.6,1,0.6045801526717557,0.6371951219512195,0.6193921852387844,0.6283987915407855,0.6656298600311042
0.01,5,50,15,3,0.8,1,0.6092307692307692,0.6381679389312978,0.6248175182481752,0.6179604261796042,0.660377358490566
0.01,5,50,15,7,0.4,1,0.5997001499250375,0.6393939393939394,0.613603473227207,0.6244477172312224,0.6584615384615384
0.01,5,50,15,7,0.6,1,0.6048632218844985,0.6411042944785276,0.6202898550724638,0.6265060240963856,0.6614906832298136
0.01,5,50,15,7,0.8,1,0.601526717557252,0.6380368098159509,0.6253687315634219,0.6217457886676876,0.6677165354330709
0.01,5,50,31,1,0.4,1,0.601823708206687,0.6484018264840182,0.6099706744868035,0.6226138032305433,0.6698113207547169
0.01,5,50,31,1,0.6,1,0.601823708206687,0.6444780635400907,0.6185567010309279,0.6212121212121212,0.6645865834633385
0.01,5,50,31,1,0.8,1,0.6009104704097117,0.6363636363636364,0.624633431085044,0.6195488721804512,0.6656298600311042
0.01,5,50,31,3,0.4,1,0.5969696969696969,0.6432926829268293,0.611353711790393,0.6281481481481481,0.6666666666666666
0.01,5,50,31,3,0.6,1,0.6057838660578386,0.6464339908952959,0.6173913043478261,0.6202723146747352,0.6625386996904025
0.01,5,50,31,3,0.8,1,0.6012269938650306,0.641566265060241,0.623718887262079,0.6184012066365008,0.6635658914728683
0.01,5,50,31,7,0.4,1,0.6033182503770739,0.6365007541478129,0.6164978292329957,0.6257309941520468,0.662557781201849
0.01,5,50,31,7,0.6,1,0.6012084592145015,0.6443768996960486,0.6202898550724638,0.6287425149700598,0.6645865834633385
0.01,5,50,31,7,0.8,1,0.600609756097561,0.6384266263237519,0.6242603550295858,0.6193353474320241,0.6605222734254992
0.01,5,100,7,1,0.4,1,0.6026587887740029,0.6378539493293591,0.6073446327683616,0.6193181818181818,0.6636085626911316
0.01,5,100,7,1,0.6,1,0.6035502958579881,0.6379821958456974,0.6099290780141844,0.6169014084507042,0.6615853658536586
0.01,5,100,7,1,0.8,1,0.6053412462908012,0.631578947368421,0.6131805157593123,0.6068376068376068,0.6635802469135802
0.01,5,100,7,3,0.4,1,0.6005917159763313,0.6377245508982036,0.6062322946175638,0.6212765957446809,0.6615853658536586
0.01,5,100,7,3,0.6,1,0.600297176820208,0.6369047619047619,0.6169296987087518,0.6134453781512605,0.6615853658536586
0.01,5,100,7,3,0.8,1,0.5970149253731343,0.631578947368421,0.6145092460881935,0.6068376068376068,0.662557781201849
0.01,5,100,7,7,0.4,1,0.5976331360946746,0.6398809523809523,0.6088193456614509,0.6177715091678421,0.6586102719033232
0.01,5,100,7,7,0.6,1,0.6017964071856288,0.6378539493293591,0.6162624821683309,0.6143057503506312,0.661608497723824
0.01,5,100,7,7,0.8,1,0.5970149253731343,0.631578947368421,0.6160458452722063,0.6082036775106082,0.6635802469135802
0.01,5,100,15,1,0.4,1,0.603030303030303,0.6414523449319214,0.6088235294117647,0.6224188790560472,0.6583463338533542
0.01,5,100,15,1,0.6,1,0.6096096096096096,0.6464339908952959,0.6174298375184638,0.6318926974664679,0.6614664586583463
0.01,5,100,15,1,0.8,1,0.6033182503770739,0.639269406392694,0.6196769456681351,0.6246246246246246,0.670846394984326
0.01,5,100,15,3,0.4,1,0.6027397260273972,0.6485671191553545,0.6061493411420205,0.6294117647058823,0.6573643410852713
0.01,5,100,15,3,0.6,1,0.6063348416289592,0.6432926829268293,0.6192592592592593,0.6279761904761905,0.6584234930448223
0.01,5,100,15,3,0.8,1,0.6051437216338881,0.6432926829268293,0.6217008797653959,0.623688155922039,0.6708268330733229
0.01,5,100,15,7,0.4,1,0.5961251862891207,0.6456456456456456,0.6138328530259366,0.6284875183553598,0.6533127889060092
0.01,5,100,15,7,0.6,1,0.608955223880597,0.6442748091603053,0.6228070175438597,0.6301775147928994,0.656441717791411
0.01,5,100,15,7,0.8,1,0.6045112781954888,0.6402439024390244,0.6196769456681351,0.623688155922039,0.6687402799377916
0.01,5,100,31,1,0.4,1,0.6030769230769231,0.6564885496183206,0.6133333333333333,0.6205882352941177,0.6584234930448223
0.01,5,100,31,1,0.6,1,0.6056971514242878,0.6504559270516718,0.6172106824925816,0.6238805970149254,0.65625
0.01,5,100,31,1,0.8,1,0.5996955859969558,0.6406015037593985,0.6176470588235294,0.6190476190476191,0.6594090202177294
0.01,5,100,31,3,0.4,1,0.5990922844175491,0.6484018264840182,0.611764705882353,0.6224188790560472,0.660436137071651
0.01,5,100,31,3,0.6,1,0.6024096385542169,0.6545454545454545,0.6112759643916914,0.6307922272047832,0.6583850931677019
0.01,5,100,31,3,0.8,1,0.603030303030303,0.6424242424242425,0.6194690265486725,0.6227544910179641,0.6615384615384615
0.01,5,100,31,7,0.4,1,0.5970149253731343,0.6466165413533834,0.6147186147186147,0.6284875183553598,0.6543778801843319
0.01,5,100,31,7,0.6,1,0.6059701492537314,0.6474164133738601,0.618978102189781,0.6278026905829597,0.6574923547400612
0.01,5,100,31,7,0.8,1,0.6021180030257186,0.639269406392694,0.6233382570162481,0.6255639097744361,0.6636085626911316
0.01,5,200,7,1,0.4,1,0.6029850746268657,0.6467065868263473,0.599713055954089,0.6308139534883721,0.6625386996904025
0.01,5,200,7,1,0.6,1,0.6032689450222882,0.6438152011922503,0.6057142857142858,0.6228571428571429,0.6615146831530139
0.01,5,200,7,1,0.8,1,0.6053412462908012,0.6409495548961425,0.6107954545454546,0.6210826210826211,0.6605222734254992
0.01,5,200,7,3,0.4,1,0.6032689450222882,0.6467065868263473,0.6048502139800286,0.6309696092619392,0.6563944530046225
0.01,5,200,7,3,0.6,1,0.6032689450222882,0.646795827123696,0.6096866096866097,0.6226685796269728,0.6604938271604939
0.01,5,200,7,3,0.8,1,0.6053412462908012,0.6419019316493314,0.6112676056338028,0.6219686162624821,0.6564885496183206
0.01,5,200,7,7,0.4,1,0.6011904761904762,0.6457399103139013,0.6059743954480796,0.6271676300578035,0.6553846153846153
0.01,5,200,7,7,0.6,1,0.600297176820208,0.6477611940298508,0.6107954545454546,0.6228571428571429,0.6594761171032357
0.01,5,200,7,7,0.8,1,0.6062407132243685,0.6428571428571429,0.6147308781869688,0.6219686162624821,0.6564885496183206
0.01,5,200,15,1,0.4,1,0.6049382716049383,0.6524390243902439,0.6162962962962963,0.6151560178306092,0.6666666666666666
0.01,5,200,15,1,0.6,1,0.6128048780487805,0.6442748091603053,0.6181277860326895,0.6188340807174888,0.6604068857589984
0.01,5,200,15,1,0.8,1,0.6100151745068285,0.6443768996960486,0.6099706744868035,0.6201780415430267,0.660377358490566
0.01,5,200,15,3,0.4,1,0.6070878274268104,0.649546827794562,0.6156111929307806,0.6210995542347697,0.664576802507837
0.01,5,200,15,3,0.6,1,0.6072507552870091,0.6423135464231354,0.6151560178306092,0.6208955223880597,0.6583463338533542
0.01,5,200,15,3,0.8,1,0.6081694402420574,0.6424242424242425,0.6079295154185022,0.6251851851851852,0.6645865834633385
0.01,5,200,15,7,0.4,1,0.6051437216338881,0.6525679758308157,0.6140350877192983,0.6270430906389302,0.6625
0.01,5,200,15,7,0.6,1,0.6077844311377245,0.6484848484848484,0.6135693215339233,0.6231454005934718,0.6574074074074074
0.01,5,200,15,7,0.8,1,0.5975975975975976,0.6433990895295902,0.6126656848306333,0.6262924667651403,0.6614906832298136
0.01,5,200,31,1,0.4,1,0.6073619631901841,0.6524390243902439,0.6179104477611941,0.6137724550898204,0.6593059936908517
0.01,5,200,31,1,0.6,1,0.6144393241167435,0.6473282442748092,0.6160714285714286,0.6149253731343284,0.6509433962264151
