param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.8,0.01,5,5,100,0.6,0.6048632218844985,0.6443768996960486,0.6083086053412463,0.6238805970149254,0.6560509554140127
0.8,0.01,5,5,100,0.8,0.6045801526717557,0.6425339366515838,0.6174298375184638,0.6216216216216216,0.6572769953051644
0.8,0.01,5,5,200,0.4,0.5984496124031008,0.6460587326120556,0.6174698795180723,0.6146926536731634,0.6656101426307448
0.8,0.01,5,5,200,0.6,0.6092307692307692,0.6524390243902439,0.6044444444444445,0.6156156156156156,0.6592356687898089
0.8,0.01,5,5,200,0.8,0.6111111111111112,0.647239263803681,0.6035502958579881,0.6167664670658682,0.6572327044025157
0.8,0.01,5,5,300,0.4,0.603125,0.6481481481481481,0.6176911544227887,0.6153846153846154,0.6635071090047393
0.8,0.01,5,5,300,0.6,0.6080246913580247,0.654320987654321,0.6041666666666666,0.6123680241327301,0.6666666666666666
0.8,0.01,5,5,300,0.8,0.6130030959752322,0.6491499227202473,0.604992657856094,0.6144578313253012,0.6551181102362205
0.8,0.01,5,5,400,0.4,0.6075949367088608,0.6542056074766355,0.6165413533834586,0.6172465960665658,0.6666666666666666
0.8,0.01,5,5,400,0.6,0.6125,0.6521060842433697,0.6045112781954888,0.6102719033232629,0.6603174603174603
0.8,0.01,5,5,400,0.8,0.6149068322981367,0.646875,0.6083086053412463,0.6144578313253012,0.6509433962264151
0.8,0.01,7,1,100,0.4,0.6066666666666667,0.6462035541195477,0.6173228346456693,0.615625,0.659016393442623
0.8,0.01,7,1,100,0.6,0.6214876033057851,0.6602870813397129,0.6189735614307932,0.622848200312989,0.6490939044481054
0.8,0.01,7,1,100,0.8,0.6113821138211382,0.6562009419152276,0.6199376947040498,0.6139534883720931,0.6493506493506493
0.8,0.01,7,1,200,0.4,0.6125827814569537,0.6601941747572816,0.6182965299684543,0.6222222222222222,0.6546644844517185
0.8,0.01,7,1,200,0.6,0.6237623762376238,0.6592,0.6158631415241057,0.6182965299684543,0.6480263157894737
0.8,0.01,7,1,200,0.8,0.6143790849673203,0.6624203821656051,0.6177847113884556,0.6194968553459119,0.6459016393442623
0.8,0.01,7,1,300,0.4,0.6135986733001658,0.6710310965630114,0.6117274167987322,0.6260032102728732,0.6567164179104478
0.8,0.01,7,1,300,0.6,0.609715242881072,0.6666666666666666,0.61198738170347,0.6212361331220285,0.642504118616145
0.8,0.01,7,1,300,0.8,0.6102819237147595,0.6688311688311688,0.609642301710731,0.6206896551724138,0.6436781609195402
0.8,0.01,7,1,400,0.4,0.6086956521739131,0.6655629139072847,0.6114649681528662,0.622792937399679,0.6522462562396006
0.8,0.01,7,1,400,0.6,0.6104553119730185,0.6732348111658456,0.6146496815286624,0.624405705229794,0.6446280991735537
0.8,0.01,7,1,400,0.8,0.609715242881072,0.672077922077922,0.6110236220472441,0.6178343949044586,0.6413223140495867
0.8,0.01,7,3,100,0.4,0.608130081300813,0.645367412140575,0.62402496099844,0.6271450858034321,0.6633986928104575
0.8,0.01,7,3,100,0.6,0.6178861788617886,0.6498422712933754,0.6232558139534884,0.6251944012441679,0.6546052631578947
0.8,0.01,7,3,100,0.8,0.6136363636363636,0.651017214397496,0.6108527131782946,0.6191950464396285,0.6494345718901454
0.8,0.01,7,3,200,0.4,0.6146341463414634,0.6655948553054662,0.6141732283464567,0.621875,0.6579378068739771
0.8,0.01,7,3,200,0.6,0.6241830065359477,0.6634768740031898,0.6189735614307932,0.6158631415241057,0.6502463054187192
0.8,0.01,7,3,200,0.8,0.6178861788617886,0.6550632911392406,0.6149068322981367,0.6197183098591549,0.6471544715447154
0.8,0.01,7,3,300,0.4,0.6052631578947368,0.6698872785829307,0.6129541864139021,0.6151419558359621,0.6557377049180327
0.8,0.01,7,3,300,0.6,0.6181818181818182,0.6570048309178744,0.6134585289514867,0.6216640502354788,0.6523887973640856
0.8,0.01,7,3,300,0.8,0.6098360655737705,0.6591276252019386,0.6071987480438185,0.6273291925465838,0.639344262295082
0.8,0.01,7,3,400,0.4,0.609271523178808,0.6710097719869706,0.6114649681528662,0.6170886075949367,0.6568144499178982
0.8,0.01,7,3,400,0.6,0.6143572621035058,0.6601941747572816,0.61198738170347,0.62402496099844,0.6501650165016502
0.8,0.01,7,3,400,0.8,0.6059602649006622,0.6579804560260586,0.6117274167987322,0.6211180124223602,0.6338259441707718
0.8,0.01,7,5,100,0.4,0.6114649681528662,0.6424050632911392,0.6211180124223602,0.6156202143950995,0.6579804560260586
0.8,0.01,7,5,100,0.6,0.624,0.6488188976377953,0.6253869969040248,0.617737003058104,0.6612641815235009
0.8,0.01,7,5,100,0.8,0.6112,0.6521060842433697,0.6165644171779141,0.6226993865030674,0.6472491909385113
0.8,0.01,7,5,200,0.4,0.6168521462639109,0.656,0.6170542635658914,0.6139534883720931,0.6644844517184942
0.8,0.01,7,5,200,0.6,0.6256077795786061,0.6571428571428571,0.6125574272588055,0.6222910216718266,0.6546644844517185
0.8,0.01,7,5,200,0.8,0.6208,0.6571879936808847,0.6158536585365854,0.6180124223602484,0.6396103896103896
0.8,0.01,7,5,300,0.4,0.6096774193548387,0.6613162118780096,0.6177847113884556,0.616822429906542,0.6546052631578947
0.8,0.01,7,5,300,0.6,0.6163934426229508,0.6645367412140575,0.6118012422360248,0.6236220472440945,0.6491803278688525
0.8,0.01,7,5,300,0.8,0.6205787781350482,0.6624203821656051,0.6141975308641975,0.6203703703703703,0.6320907617504052
0.8,0.01,7,5,400,0.4,0.6123778501628665,0.667741935483871,0.6125,0.6153846153846154,0.6558441558441559
0.8,0.01,7,5,400,0.6,0.6174055829228243,0.6634460547504025,0.6081504702194357,0.6236220472440945,0.6457990115321252
0.8,0.01,7,5,400,0.8,0.6098360655737705,0.6602254428341385,0.609642301710731,0.6201550387596899,0.6363636363636364
0.8,0.05,3,1,100,0.4,0.6060606060606061,0.649546827794562,0.6089466089466089,0.6349206349206349,0.6615620214395099
0.8,0.05,3,1,100,0.6,0.5984962406015037,0.6526946107784432,0.6025824964131994,0.60932944606414,0.6594090202177294
0.8,0.05,3,1,100,0.8,0.5919282511210763,0.6476761619190404,0.599713055954089,0.617816091954023,0.6584615384615384
0.8,0.05,3,1,200,0.4,0.6089644513137558,0.6513056835637481,0.6076696165191741,0.6208955223880597,0.6687306501547987
0.8,0.05,3,1,200,0.6,0.6137071651090342,0.6484018264840182,0.6142649199417758,0.6153846153846154,0.6554878048780488
0.8,0.05,3,1,200,0.8,0.6030769230769231,0.6452599388379205,0.6084425036390102,0.6176470588235294,0.6584615384615384
0.8,0.05,3,1,300,0.4,0.6127527216174183,0.6594090202177294,0.6014814814814815,0.6086956521739131,0.6697674418604651
0.8,0.05,3,1,300,0.6,0.609105180533752,0.6594427244582043,0.6135693215339233,0.6124260355029586,0.654320987654321
0.8,0.05,3,1,300,0.8,0.6105919003115264,0.6543778801843319,0.6094674556213018,0.6208955223880597,0.6572769953051644
0.8,0.05,3,1,400,0.4,0.6132075471698113,0.658267716535433,0.5991058122205664,0.5972850678733032,0.6635220125786163
0.8,0.05,3,1,400,0.6,0.6107594936708861,0.6573208722741433,0.6050670640834576,0.6029850746268657,0.6551724137931034
0.8,0.05,3,1,400,0.8,0.6022187004754358,0.6541471048513302,0.5979073243647235,0.6146926536731634,0.6573208722741433
0.8,0.05,3,3,100,0.4,0.60790273556231,0.6576168929110106,0.6057971014492753,0.6253602305475504,0.6636085626911316
0.8,0.05,3,3,100,0.6,0.6024096385542169,0.6527570789865872,0.6019971469329529,0.6084425036390102,0.656298600311042
0.8,0.05,3,3,100,0.8,0.5949177877428998,0.6556390977443609,0.5959885386819485,0.6184971098265896,0.662557781201849
0.8,0.05,3,3,200,0.4,0.6141975308641975,0.6513761467889908,0.611764705882353,0.6116941529235382,0.6625194401244168
0.8,0.05,3,3,200,0.6,0.6068111455108359,0.6484848484848484,0.6142649199417758,0.6133333333333333,0.6575342465753424
0.8,0.05,3,3,200,0.8,0.6058732612055642,0.6412213740458015,0.6084425036390102,0.6217008797653959,0.6625766871165644
0.8,0.05,3,3,300,0.4,0.6203703703703703,0.6583850931677019,0.6094674556213018,0.6195488721804512,0.6635367762128326
0.8,0.05,3,3,300,0.6,0.6040688575899843,0.6553846153846153,0.6140350877192983,0.6103703703703703,0.6615146831530139
0.8,0.05,3,3,300,0.8,0.603125,0.6594090202177294,0.6,0.6138032305433186,0.6625386996904025
